star,matched_name,gaia_dr3_id
55CncA,55CncA,704967037090946688
AUMic,AU Mic,6794047652729201024
EpsilonIndi,eps Ind,6412595290592307840
GJ436,GJ436,4017860992519744384
HAT-P-26,HAT-P-26,3668036348641580288
HD102365,HD102365,5381537023379295232
HD106315,HD106315,3698307419878650240
HD10700,HD10700,2452378776434477184
HD189733,HD189733,1827242816201846144
HD20794,HD20794,4847957293278177024
HD209458,HD209458,1779546757669063552
HD213885,HD213885,6407428994690988928
HD3167,HD3167,2554032474712538880
HIP41378,HIP41378,600698184764497664
K2-139,K2-139,4084602654011029376
K2-287,K2-287,6239702034929248512
K2-329,K2-329,2632880927441296640
Kelt-14,Kelt-14,5560886336446650240
piMensae,pi Men,4623036865373793408
TOI-129,TOI-129,4923860051276772608
TOI-132,TOI-132,6520880040423258240
TOI-2179,TOI-2179,4715813347286590080
TOI-421,TOI-421,2984582227215748864
TOI-558,TOI-558,4727755005637190016
TOI-824,TOI-824,5880886001621564928
WASP-106,WASP-106,3788394461991295488
WASP-118,WASP-118,2562569564026683520
WASP-121,WASP-121,5565050255701441664
WASP-122,WASP-122,5560886336446650240
WASP-126,WASP-126,4666498154837086208
WASP-127,WASP-127,3778075717162985600
WASP-12,WASP-12,3435282862461427072
WASP-130,WASP-130,6112606840179716096
WASP-131,WASP-131,6173451477191225984
WASP-156,WASP-156,2514360548993901312
WASP-166,WASP-166,5664957444179338240
WASP-178,WASP-178,6003809889735481856
WASP-19,WASP-19,5411736896952029568
WASP-20,WASP-20,2359978293137038720
WASP-31,WASP-31,3545873945303316224
WASP-34,WASP-34,3537110837630877568
WASP-50,WASP-50,5160557726183065984
WASP-54,WASP-54,3661983850663908608
WASP-62,WASP-62,4756649415309914240
WASP-74,WASP-74,4224062406762625152
WASP-76,WASP-76,2512326349403275520
